Yoshingiz,Ta'lim darajangiz,Jinsingiz,lottereya,Hozirda qaysi shahrda va davlatda yashayapsiz?,Davlatni parlament va saylovlar bilan hisoblashmaydigan kuchli davlat rahbari boshqaradigan tuzumga qanday qaraysiz?,"Hukumat emas, ekspertlar guruhi  davlatni boshqaradigan davlat tuzumiga qanday qaraysiz?",Harbiylar (ya'ni armiya) davlatni boshqaradigan davlat tuzumiga qanday qaraysiz?,Erkin va ochiq saylovlar orqali hukumat tepasiga keladigan rahbarlar boshqaradigan davlat tuzumiga qanday qaraysiz?,"Siyosiy partiylar bo'lmagan, Islomiy shariat asosida boshqariladigan davlat tuzumiga qanday qaraysiz?",Bitta partiya bilan boshqariladigan kommunist tuzumiga qanday qaraysiz?,"Rahbarlar emas, oddiy xalq muhim masalalarni ovoz berish yo'li bilan hal qiladigan davlat tuzumiga qanday qaraysiz?",Quyidagilardan qaysilarini demokratiyaning muhim xususiyatlari deb hisoblaysiz? Bir nechta variantni belgilang,Quyidagilardan qaysilarini demokratiyaning muhim xususiyati deb hisoblaysiz? Bir nechta variantni belgilang,Quyidagilardan qaysilarini demokratiyaning muhim xususiyati deb hisoblaysiz? Bir nechta variantni belgilang,5 yil oldingi O'zbekistonni qanchalik demokratik davlat deb hisoblaysiz?,Hozirgi O'zbekistonni qanchalik demokratik davlat deb hisoblaysiz?,Demokratik davlatda yashash Siz uchun qanchalik muhim?,"""O'zbekiston demokratik davlat bo'lishi kerak"". Bu fikrni qanchalik qo'llab-quvvatlaysiz?","""Davlat boshqaruvida Islom dini muhim ahamiyat kasb etishi kerak"". Bu fikrga qanday qaraysiz?"
44,3,Erkak,1,1,1,1,1,10,5,1,7,Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Davlat Ishsizlarga moddiy yordam beradi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak;Ayollar erkaklar bilan teng huquqlarga ega bo'lishlari kerak,"Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlarda asosiy ehtiyojlari (uy-joy, oziq-ovqat va kiyimlar) qondirilgan;Odamlar fikrlarini erkin ifoda eta olishadi",1,4,8,Qo'llab-quvvatlayman,8
32,3,Erkak,0,0,3,5,2,7,8,3,9,Diniy ulamolar qonunlar qabul qilishadi va sharxlashadi;Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak,Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlar fikrlarini erkin ifoda eta olishadi,4,5,7,To'la qo'llab-quvvatlayman,8
42,3,Erkak,1,0,4,8,3,8,1,1,7,Davlat boylaga soliq soladi va ka'm ta'minlanganlarga yordam beradi;Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Davlat Ishsizlarga moddiy yordam beradi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak;Ayollar erkaklar bilan teng huquqlarga ega bo'lishlari kerak,"Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlarda asosiy ehtiyojlari (uy-joy, oziq-ovqat va kiyimlar) qondirilgan;Odamlar fikrlarini erkin ifoda eta olishadi;Davlat barcha fuqarolarni ish bilan ta'minlaydi",3,4,8,Qo'llab-quvvatlayman,2
32,3,Erkak,0,0,1,5,2,10,1,1,10,Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak;Ayollar erkaklar bilan teng huquqlarga ega bo'lishlari kerak,"Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlarda asosiy ehtiyojlari (uy-joy, oziq-ovqat va kiyimlar) qondirilgan;Odamlar fikrlarini erkin ifoda eta olishadi",4,6,10,To'la qo'llab-quvvatlayman,1
45,3,,1,1,,,,,,,,,Ayollar erkaklar bilan teng huquqlarga ega bo'lishlari kerak,,,,,,
63,3,Ayol,0,0,1,6,1,7,1,9,10,Davlat boylaga soliq soladi va ka'm ta'minlanganlarga yordam beradi;Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Davlat Ishsizlarga moddiy yordam beradi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak;Ayollar erkaklar bilan teng huquqlarga ega bo'lishlari kerak,"Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlarda asosiy ehtiyojlari (uy-joy, oziq-ovqat va kiyimlar) qondirilgan;Odamlar fikrlarini erkin ifoda eta olishadi;Davlat barcha fuqarolarni ish bilan ta'minlaydi",1,2,10,Qo'llab-quvvatlayman,1
22,3,Erkak,0,0,1,1,1,10,1,1,10,Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak;Ayollar erkaklar bilan teng huquqlarga ega bo'lishlari kerak,"Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlarda asosiy ehtiyojlari (uy-joy, oziq-ovqat va kiyimlar) qondirilgan;Odamlar fikrlarini erkin ifoda eta olishadi",3,4,10,Qo'llab-quvvatlayman,4
32,3,Erkak,0,0,4,6,3,9,3,3,9,Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak,Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlar fikrlarini erkin ifoda eta olishadi,4,5,9,To'la qo'llab-quvvatlayman,4
32,3,Ayol,0,0,4,8,1,9,1,1,10,Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak;Ayollar erkaklar bilan teng huquqlarga ega bo'lishlari kerak,Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlar fikrlarini erkin ifoda eta olishadi,6,7,10,To'la qo'llab-quvvatlayman,1
44,3,Erkak,1,1,1,2,1,10,4,1,3,Davlat boylaga soliq soladi va ka'm ta'minlanganlarga yordam beradi;Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Davlat Ishsizlarga moddiy yordam beradi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak;Ayollar erkaklar bilan teng huquqlarga ega bo'lishlari kerak,Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlar fikrlarini erkin ifoda eta olishadi,1,3,10,Qo'llab-quvvatlayman,2
45,2,Ayol,1,1,2,2,1,9,2,1,5,Davlat boylaga soliq soladi va ka'm ta'minlanganlarga yordam beradi;Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak;Ayollar erkaklar bilan teng huquqlarga ega bo'lishlari kerak,Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlar fikrlarini erkin ifoda eta olishadi,3,6,10,To'la qo'llab-quvvatlayman,1
32,2,Erkak,1,0,1,10,1,10,10,1,10,Davlat boylaga soliq soladi va ka'm ta'minlanganlarga yordam beradi;Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Davlat Ishsizlarga moddiy yordam beradi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak,"Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlarda asosiy ehtiyojlari (uy-joy, oziq-ovqat va kiyimlar) qondirilgan;Odamlar fikrlarini erkin ifoda eta olishadi;Davlat barcha fuqarolarni ish bilan ta'minlaydi",1,3,10,To'la qo'llab-quvvatlayman,10
23,3,Erkak,1,1,1,5,1,9,2,1,4,Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Davlat Ishsizlarga moddiy yordam beradi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak;Ayollar erkaklar bilan teng huquqlarga ega bo'lishlari kerak,Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlar fikrlarini erkin ifoda eta olishadi,2,3,9,Qo'llab-quvvatlayman,4
37,2,Erkak,1,1,1,7,2,10,10,1,10,Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak,Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlar fikrlarini erkin ifoda eta olishadi,2,4,10,To'la qo'llab-quvvatlayman,10
27,2,Ayol,1,1,2,2,1,10,7,1,5,Davlat boylaga soliq soladi va ka'm ta'minlanganlarga yordam beradi;Diniy ulamolar qonunlar qabul qilishadi va sharxlashadi;Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Davlat Ishsizlarga moddiy yordam beradi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak,"Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlarda asosiy ehtiyojlari (uy-joy, oziq-ovqat va kiyimlar) qondirilgan;Odamlar fikrlarini erkin ifoda eta olishadi",2,4,9,Qo'llab-quvvatlayman,9
43,1,Erkak,1,1,3,1,1,8,10,,8,Diniy ulamolar qonunlar qabul qilishadi va sharxlashadi;Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak;Ayollar erkaklar bilan teng huquqlarga ega bo'lishlari kerak,Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlar fikrlarini erkin ifoda eta olishadi,2,3,7,Bu savolga neytral qarayman,10
23,2,Erkak,0,0,5,5,1,8,4,1,10,Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak;Ayollar erkaklar bilan teng huquqlarga ega bo'lishlari kerak,Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlar fikrlarini erkin ifoda eta olishadi,4,5,8,Qo'llab-quvvatlayman,5
25,2,Erkak,0,0,1,1,1,10,9,1,10,Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Davlat Ishsizlarga moddiy yordam beradi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak;Ayollar erkaklar bilan teng huquqlarga ega bo'lishlari kerak,"Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlarda asosiy ehtiyojlari (uy-joy, oziq-ovqat va kiyimlar) qondirilgan;Odamlar fikrlarini erkin ifoda eta olishadi;Davlat barcha fuqarolarni ish bilan ta'minlaydi",1,2,10,To'la qo'llab-quvvatlayman,10
25,3,Erkak,1,1,6,10,2,10,8,1,10,Davlat boylaga soliq soladi va ka'm ta'minlanganlarga yordam beradi;Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Davlat Ishsizlarga moddiy yordam beradi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak,"Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlarda asosiy ehtiyojlari (uy-joy, oziq-ovqat va kiyimlar) qondirilgan;Odamlar fikrlarini erkin ifoda eta olishadi;Davlat barcha fuqarolarni ish bilan ta'minlaydi",1,3,10,To'la qo'llab-quvvatlayman,9
23,2,Erkak,0,0,1,1,1,7,10,1,10,Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Davlat Ishsizlarga moddiy yordam beradi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak,"Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlarda asosiy ehtiyojlari (uy-joy, oziq-ovqat va kiyimlar) qondirilgan;Odamlar fikrlarini erkin ifoda eta olishadi",4,5,8,Bu savolga neytral qarayman,9
34,2,Erkak,1,1,2,4,2,10,3,1,8,Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Davlat Ishsizlarga moddiy yordam beradi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak;Ayollar erkaklar bilan teng huquqlarga ega bo'lishlari kerak,Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlar fikrlarini erkin ifoda eta olishadi,3,4,10,Qo'llab-quvvatlayman,8
54,1,Erkak,1,1,2,1,1,10,,1,1,Davlat boylaga soliq soladi va ka'm ta'minlanganlarga yordam beradi;Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak,Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlar fikrlarini erkin ifoda eta olishadi,2,3,5,Bu savolga neytral qarayman,10
34,2,Erkak,1,1,1,6,1,10,5,2,6,Davlat boylaga soliq soladi va ka'm ta'minlanganlarga yordam beradi;Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak,Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlar fikrlarini erkin ifoda eta olishadi,3,5,10,Qo'llab-quvvatlayman,5
32,2,Erkak,0,0,1,1,1,8,8,4,6,Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak;Ayollar erkaklar bilan teng huquqlarga ega bo'lishlari kerak,Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlar fikrlarini erkin ifoda eta olishadi,4,8,9,To'la qo'llab-quvvatlayman,8
45,2,Erkak,1,1,1,10,1,10,7,1,10,Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak,Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlar fikrlarini erkin ifoda eta olishadi,1,1,10,To'la qo'llab-quvvatlayman,8
24,2,Erkak,0,0,1,9,1,10,1,1,10,Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak;Ayollar erkaklar bilan teng huquqlarga ega bo'lishlari kerak,Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlar fikrlarini erkin ifoda eta olishadi,1,2,10,To'la qo'llab-quvvatlayman,1
33,2,Erkak,0,0,1,3,3,9,2,2,9,Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak;Ayollar erkaklar bilan teng huquqlarga ega bo'lishlari kerak,Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlar fikrlarini erkin ifoda eta olishadi,3,5,9,Qo'llab-quvvatlayman,5
32,3,Erkak,0,0,1,3,1,8,5,2,10,Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Davlat Ishsizlarga moddiy yordam beradi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Ayollar erkaklar bilan teng huquqlarga ega bo'lishlari kerak,Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlar fikrlarini erkin ifoda eta olishadi,1,3,8,Qo'llab-quvvatlayman,3
21,2,Erkak,0,0,2,4,2,8,2,2,9,Davlat boylaga soliq soladi va ka'm ta'minlanganlarga yordam beradi;Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak,Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlar fikrlarini erkin ifoda eta olishadi,2,5,10,Qo'llab-quvvatlayman,4
34,2,Erkak,0,0,4,2,1,10,7,2,2,Davlat boylaga soliq soladi va ka'm ta'minlanganlarga yordam beradi;Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak,Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlar fikrlarini erkin ifoda eta olishadi,4,7,8,Qo'llab-quvvatlayman,7
53,2,Erkak,0,0,2,5,1,9,2,1,5,Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak;Ayollar erkaklar bilan teng huquqlarga ega bo'lishlari kerak,Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlar fikrlarini erkin ifoda eta olishadi,2,4,10,To'la qo'llab-quvvatlayman,2
23,2,Erkak,0,0,3,6,1,8,3,3,5,Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak;Ayollar erkaklar bilan teng huquqlarga ega bo'lishlari kerak,Odamlar fikrlarini erkin ifoda eta olishadi,2,5,9,Qo'llab-quvvatlayman,4
43,2,Erkak,0,0,2,5,5,10,3,2,9,Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Davlat Ishsizlarga moddiy yordam beradi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Ayollar erkaklar bilan teng huquqlarga ega bo'lishlari kerak,Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlar fikrlarini erkin ifoda eta olishadi;Davlat barcha fuqarolarni ish bilan ta'minlaydi,6,9,10,To'la qo'llab-quvvatlayman,10
22,3,Erkak,0,0,1,5,2,10,4,3,10,Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak;Ayollar erkaklar bilan teng huquqlarga ega bo'lishlari kerak,"Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlarda asosiy ehtiyojlari (uy-joy, oziq-ovqat va kiyimlar) qondirilgan;Odamlar fikrlarini erkin ifoda eta olishadi;Davlat barcha fuqarolarni ish bilan ta'minlaydi",3,5,8,Qo'llab-quvvatlayman,5
24,3,Erkak,0,0,1,6,1,8,10,1,10,Davlat boylaga soliq soladi va ka'm ta'minlanganlarga yordam beradi;Diniy ulamolar qonunlar qabul qilishadi va sharxlashadi;Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Davlat Ishsizlarga moddiy yordam beradi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak,"Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlarda asosiy ehtiyojlari (uy-joy, oziq-ovqat va kiyimlar) qondirilgan;Odamlar fikrlarini erkin ifoda eta olishadi;Davlat barcha fuqarolarni ish bilan ta'minlaydi",,3,6,Bu savolga neytral qarayman,10
22,2,Erkak,0,0,2,7,2,10,10,1,10,Diniy ulamolar qonunlar qabul qilishadi va sharxlashadi;Hukumat rahbarlari erkin va ochiq saylovlarda saylanishadi;Ommaviy axborot vositalari davlatni erkin tanqid qilishlari mumkin,Fuqarolarning huquqlari ularni davlat zulmidan saqlay olishi kerak;Ayollar erkaklar bilan teng huquqlarga ega bo'lishlari kerak,Hukumat qonunni buzganda sudlar va parlament aralasha oladi;Odamlar fikrlarini erkin ifoda eta olishadi,4,4,10,Qo'llab-quvvatlayman,10
